日期,發佈單位,標題,url
2023-08-15,電子計算機中心,轉知國立中興大學辦理「112年教育機構資安個資驗證稽核人員進階培訓課程簡章」,https://bulletin.ntust.edu.tw/p/406-1045-116000\,r1391.php?Lang=zh-tw
2023-08-15,研究發展處計畫業務服務中心,【訊息轉知】臺北市立大學研究發展處謹訂於112年9月6日（星期三）舉辦「112年度人體研究倫理線上教育訓練課程III」，歡迎有興趣者報名參加，請查照。,https://bulletin.ntust.edu.tw/p/406-1045-115998\,r1391.php?Lang=zh-tw
2023-08-15,電子計算機中心,[轉知]中華民國資訊軟體協會主辦「2023數位應用週暨DigitalAsia國際論壇」(活動議程詳如附件)，歡迎踴躍報名參加。,https://bulletin.ntust.edu.tw/p/406-1045-115996\,r1391.php?Lang=zh-tw
2023-08-15,總務處營繕組,[轉知]工程會112年8月9日工程管字第1120300738號函修正發布「工程施工查核小組作業辦法」第4條規定，請查照。,https://bulletin.ntust.edu.tw/p/406-1045-115994\,r1391.php?Lang=zh-tw
2023-08-15,總務處事務組,研揚及一舍地下機車停車場地面環境清潔公告,https://bulletin.ntust.edu.tw/p/406-1045-115993\,r1391.php?Lang=zh-tw
2023-08-14,秘書室,【教育訓練】個人資料檔案盤點暨風險評鑑教育訓練,https://bulletin.ntust.edu.tw/p/406-1045-115972\,r1391.php?Lang=zh-tw
2023-08-14,教務處,【訊息轉知】中華工程教育學會開放「2025年度工程及科技教育認證說明會」，歡迎報名參加,https://bulletin.ntust.edu.tw/p/406-1045-115963\,r1391.php?Lang=zh-tw
2023-08-14,OIA,【轉知】歡迎參加WTUN世界科技大學聯盟-2023年首屆年度講座-ProfessorStefanRahmstorfHeadofEarthSystemAnalysisatthePotsdamInstituteforClimateImpactResearch,https://bulletin.ntust.edu.tw/p/406-1045-115957\,r1391.php?Lang=zh-tw
2023-08-14,OIA,【Forwarded】WTUNClimateActionHackathon2023WTUN世界科技大學聯盟-2023年氣候行動黑客松,https://bulletin.ntust.edu.tw/p/406-1045-115955\,r1391.php?Lang=zh-tw
2023-08-14,電子計算機中心,應屆畢業生微軟學生版產品下載將於2023/8/31日停止提供服務公告。/ThedownloadserviceofMicrosoftStudentEditionfornewgraduateswillbediscontinuedonAugust312023.,https://bulletin.ntust.edu.tw/p/406-1045-115949\,r1391.php?Lang=zh-tw
2023-08-14,總務處事務組,研揚及一舍地下機車停車場地面環境清潔公告,https://bulletin.ntust.edu.tw/p/406-1045-115948\,r1391.php?Lang=zh-tw
2023-08-14,圖書館,臺科大圖書館快報第154期~~暑假在家學習超EASY!精進你的研究學習能力!還有8月暢銷書讓你掌握閱讀趨勢~!,https://bulletin.ntust.edu.tw/p/406-1045-115939\,r1391.php?Lang=zh-tw
2023-08-14,圖書館,圖書館8月新書上架，歡迎借閱/NewArrivalsthisMonth-AUG2023,https://bulletin.ntust.edu.tw/p/406-1045-115934\,r1391.php?Lang=zh-tw
2023-08-11,推廣教育中心,【推廣教育中心】產投專利檢索與佈局課程班招生中!!!,https://bulletin.ntust.edu.tw/p/406-1045-116076\,r1391.php?Lang=zh-tw
2023-08-11,推廣教育中心,【推廣教育中心】產投專利檢索與佈局課程班招生中!!!,https://bulletin.ntust.edu.tw/p/406-1045-115922\,r1391.php?Lang=zh-tw
2023-08-11,國際事務處,【轉知】駐歐盟兼駐比利時代表處教育組辦理台灣荷語魯汶大學獎學金線上說明會，歡迎報名參加,https://www.oia.ntust.edu.tw/p/404-1060-115919.php?Lang=zh-tw
2023-08-11,國際事務處,【轉知】財團法人淡江大學推廣教育處華語中心承辦2023-2024年「美國國務院學年度高中生華語獎學金研習班計畫NSLI-YAcademicYearChineseLanguageProgram」徵選臺灣寄宿家庭事宜,https://www.oia.ntust.edu.tw/p/404-1060-115917.php?Lang=zh-tw
